id,Contents,Source,Contributors,Time
1,其实人生并非虚耗，何来尘埃飞舞,沙龙,Abyss,2025/10/29
2,如花，超生了没有果；如果，过路能重踏过,不来也不去,Heart Of Taylor Swift、口味偏爱果粒橙,2025/10/29
3,就当共你，有旧情没有往事,不来也不去,pp,2025/10/29
4,为何旧知己在最后变不到老友,最佳损友,LLH,2025/10/29
5,爱令我自信如恒山,信心花舍,猫猫猫猫猫,2025/10/29
6,从何时开始忌讳空山无人，从何时开始怕遥望星尘,任我行,动物园仰卧起坐 ing,2025/10/29
7,为何为好事泪流,富士山下,CodeBreaker,2025/10/29
8,嘿别怕，还有晴空,披风,我什么都没有,2025/10/29
9,天空海阔总可找到，为什么需要烦躁,天公地道,Abyss、小吱,2025/10/29
10,你要静候，再静候，就算失收始终要守,葡萄成熟时,葡萄成熟时、如初花艺、李子栗子梨,2025/10/29
11,若你喜欢怪人，其实我很美,打回原形,叶林盛、皮卡乓,2025/10/29
12,亲爱的，凭你悟性，为何没想到珍惜,一切还好,想聼聼不到、林见雨落长安.,2025/10/29
13,应不应该，精不精彩，总结在 我爱,人生马拉松,S的精神世界,2025/10/29
14,讲分开 可否不再用憾事的口吻，习惯无常才会庆幸,落花流水,等、落花流水,2025/10/29
15,一个人，同携到老不靠运气,与我常在,不知所谓,2025/10/29
16,和自己比较，和昨天比较,臭美,比个耶er,2025/10/29
17,除非你是我，才可与我常在,与我常在,Abyss、与我常在,2025/10/29
18,猜猜情寻 猜猜情寻，玩输可以胜过别人，当一餐好教训,猜情寻,阿森纳夺冠再改名,2025/10/29
19,我多么想和你见一面，在街角的咖啡店,好久不见,与我常在lan,2025/10/29
20,论尽半生不懂爱，回头没有心计划未来，才来独处，好好检讨，什么叫爱,是但求其爱,小蓝帽与大肥狼,2025/10/29
21,时时怀希望，望着坏情况，如果争吵太脆弱，也许拥抱极坚壮,希望,HPX  # 11,2025/10/29
22,我信与你继续乱缠，难再有发展，但我想跟你乱缠,无人之境,陆七八、是但求其,2025/10/29
23,开始时捱一些苦，栽种绝处的花,苦瓜,名字太长别人会记不住的、ball,2025/10/29
24,要拥有必先懂失去怎接受,富士山下,Veni Vidi Vici、DeusExMachina.,2025/10/29
25,因世上的至爱，是不计较条件,无条件,木木木青,2025/10/29
26,在想念之外，我明白爱并不存在,之外,肥你个陈,2025/10/29
27,与你说些无聊事，挽手几千里,我们万岁,木木木青,2025/10/29
28,抬头吧，相信爱你便能飞,今日,肥你个陈,2025/10/29
29,活得精彩结尾，切勿流眼泪,最后派对,LH44、鱼加毫得分长,2025/10/30
30,天空闪过灿烂花火，和你不再为爱奔波,十面埋伏,sc、久留、AllesEZ4M3,2025/10/30
31,流水很清楚惜花这个责任，真的身份不过送运,落花流水,小春冰粉.冰汤圆、知我者、海星老师,2025/10/30
32,这趟旅行若算开心，亦是无负这一生,落花流水,小春冰粉.冰汤圆、焦糖玛奇朵兑参汤,2025/10/30
33,水点蒸发变做白云，花瓣飘落下游生根,落花流水,小春冰粉.冰汤圆、超绝狗屎拌饭,2025/10/30
34,爱若难以放进手里，何不将这双手放进心里,人来人往,小春冰粉.冰汤圆、DeusExMachina.,2025/10/30
35,最美丽长发未留在我手，我亦开心饮过酒,人来人往,小春冰粉.冰汤圆、林见雨落长安.,2025/10/30
36,谁当初想摆脱被围绕左右，过后谁人被遥控于世界尽头,一丝不挂,盛夏余温,2025/10/30
37,一想起我们有话要讲，未曾被听见便闭幕,开不了心,神奇海螺也没有答案,2025/10/30
38,谈论连场大雨你窗台漏水，不得了,绵绵,月色魔美,2025/10/30
39,很多东西今生只可给你，保守至到永久,最佳损友,人来人往丶,2025/10/30
40,还有各位好知己，陪我唱歌天赐的福气,与你常在,肥你个陈,2025/10/30
41,我也曾像这样，青春大概相似,Crying in the Party,渡风,2025/10/30
42,我的快乐时代唱烂，才领悟代价多高昂,然后怎样,Seven,2025/10/30
43,并未在一起亦无从离弃，不用沦为伴侣，别寻是惹非,失忆蝴蝶,ykceez,2025/10/30
44,世上有多少个缤纷乐园,任我行,cwcw,2025/10/30
45,对我好 对我好 好到无路可退,兄妹,残次,2025/10/30
46,与你说些无聊事，挽手几千里,我们万岁,Zephyr,2025/10/30
47,没有际遇会预告，轮到你才会轮到,天公地道,月球上的人,2025/10/30
48,徐徐入眠沉睡，徐徐入眠没眼泪,床头床尾,Abyss,2025/10/30
49,时光会逼你这幅万金之躯，竞逐世上各样乜乜之最，你若决定要做最尾一名绝对允许,大个女,安雾FOG,2025/10/30
50,天气不似预期，但要走，总要飞,岁月如歌,DeusExMachina.,2025/10/30
51,错过了春天可会再花开,葡萄成熟时,DeusExMachina.,2025/10/30
52,命运敲定了要这么发生,落花流水,DeusExMachina.,2025/10/30
53,忘掉我跟你恩怨，樱花开了几转,富士山下,DeusExMachina.,2025/10/30
54,雪中寻梅无常在徘徊，来生求别人替代,告别娑婆,oiusuma,2025/10/30
